gene_name,utr5_cpm,utr5_ai_rate,utr5_m6a_rate,utr5_unmod_rate,utr3_cpm,utr3_ai_rate,utr3_m6a_rate,utr3_unmod_rate,exon_cpm,exon_ai_rate,exon_m6a_rate,exon_unmod_rate,intron_cpm,intron_ai_rate,intron_m6a_rate,intron_unmod_rate,utr5_either_rate,utr3_either_rate,exon_either_rate,intron_either_rate,total_ai_rate,total_m6a_rate,total_either_rate,total_cpm
AZIN1,10.88813,0.025659,0.145987,0.83004,2633.6561033333332,0.063052,0.229939,0.70752,119.27740633333333,0.062119,0.150666,0.78852,2.076659333333333,0.056346,0.198907,0.745303,0.17164600000000002,0.292991,0.212785,0.255253,0.051794,0.18137474999999997,0.23316874999999998,691.4745747499999
TMEM230,0.0,0.0,0.0,0.0,1172.6503910000001,0.065781,0.194709,0.740633,270.888889,0.068675,0.142077,0.791556,1.4466033333333332,0.066021,0.194457,0.741366,0.0,0.26049,0.210752,0.260478,0.050119250000000004,0.13281075,0.18292999999999998,481.66196111111117
ZNF429,32.67276433333333,0.107364,0.254471,0.642211,0.0,0.0,0.0,0.0,0.489956,0.298828,0.289062,0.5,0.23101533333333335,0.062988,0.200073,0.738892,0.361835,0.0,0.58789,0.263061,0.117295,0.1859015,0.3031965,11.131245222222221
PPM1B,8.982036,0.275174,0.009115,0.715712,426.53944700000005,0.057433,0.209337,0.736867,327.473518,0.092021,0.110294,0.80005,2.6984100000000004,0.071597,0.268532,0.66367,0.28428899999999996,0.26677,0.20231500000000002,0.340129,0.12405625,0.1493195,0.27337575000000003,191.42335275
VPS35,0.0,0.0,0.0,0.0,56.774778,0.045815,0.208203,0.7478,8.359788333333332,0.071499,0.172172,0.757071,0.6688230000000001,0.046117,0.269823,0.68406,0.0,0.254018,0.24367099999999997,0.31594,0.04085775,0.1625495,0.20340724999999998,21.93446311111111
COPA,4714.285714333333,0.061676,0.246786,0.696926,623.8159676666667,0.07844,0.213465,0.709763,60.283163,0.083952,0.211781,0.704982,7.249912666666667,0.069869,0.193661,0.739065,0.308462,0.29190499999999997,0.295733,0.26353,0.07348425,0.21642324999999998,0.2899075,1351.4086894166667
KAT6B,43.45395,0.042107,0.12482,0.834796,812.9829983333333,0.054928,0.233491,0.715214,170.51561333333333,0.075702,0.257006,0.672537,1.105693,0.056304,0.265725,0.682127,0.166927,0.288419,0.332708,0.322029,0.05726025,0.2202605,0.27752075,257.0145636666666
SPPL3,13.1445905,0.079026,0.025691,0.895282,324.4944423333333,0.056832,0.218332,0.72709,41.1255415,0.044531,0.194202,0.762993,0.33429099999999995,0.077516,0.274989,0.649047,0.104717,0.275164,0.23873300000000003,0.35250499999999996,0.06447625000000001,0.1783035,0.24277975,94.77471633333333
GATAD2B,0.0,0.0,0.0,0.0,233.57798166666666,0.065646,0.230596,0.704185,0.0,0.0,0.0,0.0,21.256684000000003,0.073059,0.193112,0.738227,0.0,0.296242,0.0,0.266171,0.03467625,0.105927,0.14060325,127.41733283333333
RAB12,0.0,0.0,0.0,0.0,339.28571400000004,0.097252,0.236133,0.669977,17.687075,0.063301,0.254407,0.6875,1.582734,0.082889,0.235085,0.686168,0.0,0.33338500000000004,0.317708,0.317974,0.0608605,0.18140625,0.24226675,119.51850766666668
